Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
VF250LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250LA (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VF250XA (115)	500371			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
VF250XA (116)	500371			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
VX150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX150TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX150TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX150TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX150TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX200TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX225TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX225TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX225TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX225TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX225TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX250 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX250TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX250TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VX250TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ150TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ175TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200 (3.1L)	500371		60X-W0078-00-00	2-stroke. No year specified. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200(2.6L) (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200RTLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200RTLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200RTLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ200TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225~VZ300 (>=2003)	500371		60X-W0078-00-00	2-stroke. Year >= 2003. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225HTLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225HTLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225HTLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ225TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250FTLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250FTLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250FTLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ250TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300BTLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300BTLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300BTLR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
VZ300TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z150TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z175TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z200TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z250TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300 (≥1992)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TUR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
Z300TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
V6 Special (6G7) (1984-1986)	500371				YAMAHA	Outboard_Engines
V6 Excell (6K7) (1987-1989)	500371				YAMAHA	Outboard_Engines
